,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n
9315,W0scuwXc/,W0scuwXc18,18,20,Zlatan Ibrahimovic (Milan) wins a free kick on the left wing.,8,,1,AC Milan,Lazio,zlatan ibrahimovic,,,,,,0,4.0,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9320,W0scuwXc/,W0scuwXc23,23,21,"Offside, Milan. Antonio Cassano tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,1,AC Milan,Lazio,zlatan ibrahimovic,antonio cassano,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9331,W0scuwXc/,W0scuwXc34,34,29,"Goal!  Milan 1, Lazio 2. Zlatan Ibrahimovic (Milan) right footed shot from very close range to the bottom left corner. Assisted by Antonio Cassano.",1,12.0,1,AC Milan,Lazio,zlatan ibrahimovic,antonio cassano,,,3.0,1.0,1,13.0,1.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9340,W0scuwXc/,W0scuwXc43,43,34,Foul by Zlatan Ibrahimovic (Milan).,3,,1,AC Milan,Lazio,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9368,W0scuwXc/,W0scuwXc71,71,59,"Offside, Milan. Antonio Cassano tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,1,AC Milan,Lazio,zlatan ibrahimovic,antonio cassano,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9381,W0scuwXc/,W0scuwXc84,84,71,"Offside, Milan. Massimo Ambrosini tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,1,AC Milan,Lazio,zlatan ibrahimovic,massimo ambrosini,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9383,W0scuwXc/,W0scuwXc86,86,72,Zlatan Ibrahimovic (Milan) wins a free kick on the right wing.,8,,1,AC Milan,Lazio,zlatan ibrahimovic,,,,,,0,5.0,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9386,W0scuwXc/,W0scuwXc89,89,74,Attempt missed. Zlatan Ibrahimovic (Milan) left footed shot from the left side of the box misses to the left. Assisted by Antonio Cassano with a through ball.,1,12.0,1,AC Milan,Lazio,zlatan ibrahimovic,antonio cassano,,,8.0,2.0,0,9.0,2.0,4,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9395,W0scuwXc/,W0scuwXc98,98,85,Attempt saved. Zlatan Ibrahimovic (Milan) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Antonio Cassano.,1,12.0,1,AC Milan,Lazio,zlatan ibrahimovic,antonio cassano,,,5.0,1.0,0,9.0,2.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
27597,KEsUftTC/,KEsUftTC2,2,2,Foul by Zlatan Ibrahimovic (Milan).,3,,2,AC Milan,Juventus,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/juventus-ac-milan-KEsUftTC/,True,2011-10-02,I1,2012,italy,Juventus,AC Milan,2,0,2.76,3.27,2.98,,,,
27612,KEsUftTC/,KEsUftTC17,17,24,Foul by Zlatan Ibrahimovic (Milan).,3,,2,AC Milan,Juventus,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/juventus-ac-milan-KEsUftTC/,True,2011-10-02,I1,2012,italy,Juventus,AC Milan,2,0,2.76,3.27,2.98,,,,
27666,KEsUftTC/,KEsUftTC71,71,67,Foul by Zlatan Ibrahimovic (Milan).,3,,2,AC Milan,Juventus,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/juventus-ac-milan-KEsUftTC/,True,2011-10-02,I1,2012,italy,Juventus,AC Milan,2,0,2.76,3.27,2.98,,,,
27671,KEsUftTC/,KEsUftTC76,76,73,Foul by Zlatan Ibrahimovic (Milan).,3,,2,AC Milan,Juventus,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/juventus-ac-milan-KEsUftTC/,True,2011-10-02,I1,2012,italy,Juventus,AC Milan,2,0,2.76,3.27,2.98,,,,
27680,KEsUftTC/,KEsUftTC85,85,80,Foul by Zlatan Ibrahimovic (Milan).,3,,2,AC Milan,Juventus,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/juventus-ac-milan-KEsUftTC/,True,2011-10-02,I1,2012,italy,Juventus,AC Milan,2,0,2.76,3.27,2.98,,,,
30770,UHCoQ0Sn/,UHCoQ0Sn22,22,25,"Attempt missed. Zlatan Ibrahimovic (Milan) left footed shot from the left side of the box is close, but misses to the right. Assisted by Alberto Aquilani with a through ball following a fast break.",1,12.0,1,AC Milan,Palermo,zlatan ibrahimovic,alberto aquilani,,,9.0,2.0,0,9.0,2.0,4,1.0,1,/soccer/italy/serie-a-2011-2012/ac-milan-palermo-UHCoQ0Sn/,True,2011-10-15,I1,2012,italy,AC Milan,Palermo,3,0,1.47,4.8,8.6,,,,
30802,UHCoQ0Sn/,UHCoQ0Sn54,54,45,Attempt blocked. Zlatan Ibrahimovic (Milan) right footed shot from outside the box is blocked. Assisted by Antonio Cassano.,1,12.0,1,AC Milan,Palermo,zlatan ibrahimovic,antonio cassano,,,2.0,3.0,0,15.0,1.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-palermo-UHCoQ0Sn/,True,2011-10-15,I1,2012,italy,AC Milan,Palermo,3,0,1.47,4.8,8.6,,,,
30808,UHCoQ0Sn/,UHCoQ0Sn60,60,51,Attempt missed. Zlatan Ibrahimovic (Milan) right footed shot from the left side of the box misses to the left. Assisted by Robinho with a cross.,1,12.0,1,AC Milan,Palermo,zlatan ibrahimovic,robinho,,,8.0,2.0,0,9.0,1.0,2,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-palermo-UHCoQ0Sn/,True,2011-10-15,I1,2012,italy,AC Milan,Palermo,3,0,1.47,4.8,8.6,,,,
30820,UHCoQ0Sn/,UHCoQ0Sn72,72,62,"Attempt missed. Zlatan Ibrahimovic (Milan) right footed shot from the left side of the box is close, but misses the top left corner. Assisted by Antonio Cassano with a through ball following a fast break.",1,12.0,1,AC Milan,Palermo,zlatan ibrahimovic,antonio cassano,,,12.0,2.0,0,9.0,1.0,4,1.0,1,/soccer/italy/serie-a-2011-2012/ac-milan-palermo-UHCoQ0Sn/,True,2011-10-15,I1,2012,italy,AC Milan,Palermo,3,0,1.47,4.8,8.6,,,,
30825,UHCoQ0Sn/,UHCoQ0Sn77,77,68,Foul by Zlatan Ibrahimovic (Milan).,3,,1,AC Milan,Palermo,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-palermo-UHCoQ0Sn/,True,2011-10-15,I1,2012,italy,AC Milan,Palermo,3,0,1.47,4.8,8.6,,,,
30844,UHCoQ0Sn/,UHCoQ0Sn96,96,88,Attempt saved. Zlatan Ibrahimovic (Milan) right footed shot from outside the box is saved in the centre of the goal.,1,,1,AC Milan,Palermo,zlatan ibrahimovic,,,,5.0,1.0,0,15.0,1.0,0,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-palermo-UHCoQ0Sn/,True,2011-10-15,I1,2012,italy,AC Milan,Palermo,3,0,1.47,4.8,8.6,,,,
30848,UHCoQ0Sn/,UHCoQ0Sn100,100,90,Attempt saved. Zlatan Ibrahimovic (Milan) right footed shot from a difficult angle and long range on the left is saved in the bottom left corner.,1,,1,AC Milan,Palermo,zlatan ibrahimovic,,,,3.0,1.0,0,6.0,1.0,0,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-palermo-UHCoQ0Sn/,True,2011-10-15,I1,2012,italy,AC Milan,Palermo,3,0,1.47,4.8,8.6,,,,
36432,SG2Nw0st/,SG2Nw0st49,49,45,Foul by Zlatan Ibrahimovic (Milan).,3,,2,AC Milan,Lecce,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/lecce-ac-milan-SG2Nw0st/,True,2011-10-23,I1,2012,italy,Lecce,AC Milan,3,4,7.4,4.0,1.63,,,,
36445,SG2Nw0st/,SG2Nw0st62,62,52,"Offside, Milan. Alberto Aquilani tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,2,AC Milan,Lecce,zlatan ibrahimovic,alberto aquilani,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/lecce-ac-milan-SG2Nw0st/,True,2011-10-23,I1,2012,italy,Lecce,AC Milan,3,4,7.4,4.0,1.63,,,,
36469,SG2Nw0st/,SG2Nw0st86,86,62,Zlatan Ibrahimovic (Milan) wins a free kick in the attacking half.,8,,2,AC Milan,Lecce,zlatan ibrahimovic,,,,,,0,1.0,,0,,0,/soccer/italy/serie-a-2011-2012/lecce-ac-milan-SG2Nw0st/,True,2011-10-23,I1,2012,italy,Lecce,AC Milan,3,4,7.4,4.0,1.63,,,,
36473,SG2Nw0st/,SG2Nw0st90,90,65,Attempt blocked. Zlatan Ibrahimovic (Milan) right footed shot from the centre of the box is blocked. Assisted by Ignazio Abate.,1,12.0,2,AC Milan,Lecce,zlatan ibrahimovic,ignazio abate,,,2.0,3.0,0,3.0,1.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/lecce-ac-milan-SG2Nw0st/,True,2011-10-23,I1,2012,italy,Lecce,AC Milan,3,4,7.4,4.0,1.63,,,,
36483,SG2Nw0st/,SG2Nw0st100,100,73,Foul by Zlatan Ibrahimovic (Milan).,3,,2,AC Milan,Lecce,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/lecce-ac-milan-SG2Nw0st/,True,2011-10-23,I1,2012,italy,Lecce,AC Milan,3,4,7.4,4.0,1.63,,,,
36508,SG2Nw0st/,SG2Nw0st125,125,90,"Offside, Milan. Antonio Nocerino tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,2,AC Milan,Lecce,zlatan ibrahimovic,antonio nocerino,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/lecce-ac-milan-SG2Nw0st/,True,2011-10-23,I1,2012,italy,Lecce,AC Milan,3,4,7.4,4.0,1.63,,,,
36510,SG2Nw0st/,SG2Nw0st127,127,90,Zlatan Ibrahimovic (Milan) wins a free kick on the left wing.,8,,2,AC Milan,Lecce,zlatan ibrahimovic,,,,,,0,4.0,,0,,0,/soccer/italy/serie-a-2011-2012/lecce-ac-milan-SG2Nw0st/,True,2011-10-23,I1,2012,italy,Lecce,AC Milan,3,4,7.4,4.0,1.63,,,,
36512,SG2Nw0st/,SG2Nw0st129,129,90,Foul by Zlatan Ibrahimovic (Milan).,3,,2,AC Milan,Lecce,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/lecce-ac-milan-SG2Nw0st/,True,2011-10-23,I1,2012,italy,Lecce,AC Milan,3,4,7.4,4.0,1.63,,,,
37336,4W2Qkcth/,4W2Qkcth6,6,9,"Offside, Milan. Ignazio Abate tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,1,AC Milan,Parma,zlatan ibrahimovic,ignazio abate,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-parma-4W2Qkcth/,True,2011-10-26,I1,2012,italy,AC Milan,Parma,4,1,1.37,5.17,12.65,,,,
37349,4W2Qkcth/,4W2Qkcth19,19,26,"Attempt missed. Zlatan Ibrahimovic (Milan) right footed shot from outside the box is close, but misses to the left. Assisted by Kevin-Prince Boateng.",1,12.0,1,AC Milan,Parma,zlatan ibrahimovic,kevinprince boateng,,,8.0,2.0,0,15.0,1.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-parma-4W2Qkcth/,True,2011-10-26,I1,2012,italy,AC Milan,Parma,4,1,1.37,5.17,12.65,,,,
37355,4W2Qkcth/,4W2Qkcth25,25,38,"Offside, Milan. Thiago Silva tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,1,AC Milan,Parma,zlatan ibrahimovic,thiago silva,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-parma-4W2Qkcth/,True,2011-10-26,I1,2012,italy,AC Milan,Parma,4,1,1.37,5.17,12.65,,,,
37360,4W2Qkcth/,4W2Qkcth30,30,45,"Attempt missed. Zlatan Ibrahimovic (Milan) right footed shot from the centre of the box is close, but misses to the right. Assisted by Ignazio Abate with a cross.",1,12.0,1,AC Milan,Parma,zlatan ibrahimovic,ignazio abate,,,9.0,2.0,0,3.0,1.0,2,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-parma-4W2Qkcth/,True,2011-10-26,I1,2012,italy,AC Milan,Parma,4,1,1.37,5.17,12.65,,,,
37388,4W2Qkcth/,4W2Qkcth58,58,65,Attempt blocked. Zlatan Ibrahimovic (Milan) left footed shot from the right side of the box is blocked. Assisted by Antonio Cassano with a through ball.,1,12.0,1,AC Milan,Parma,zlatan ibrahimovic,antonio cassano,,,2.0,3.0,0,11.0,2.0,4,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-parma-4W2Qkcth/,True,2011-10-26,I1,2012,italy,AC Milan,Parma,4,1,1.37,5.17,12.65,,,,
37395,4W2Qkcth/,4W2Qkcth65,65,73,"Goal!  Milan 3, Parma 0. Zlatan Ibrahimovic (Milan) right footed shot from the centre of the box to the bottom right corner. Assisted by Antonio Cassano with a through ball following a fast break.",1,12.0,1,AC Milan,Parma,zlatan ibrahimovic,antonio cassano,,,4.0,1.0,1,3.0,1.0,4,1.0,1,/soccer/italy/serie-a-2011-2012/ac-milan-parma-4W2Qkcth/,True,2011-10-26,I1,2012,italy,AC Milan,Parma,4,1,1.37,5.17,12.65,,,,
39186,00LMl81F/,00LMl81F7,7,6,"Offside, Milan. Ignazio Abate tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,2,AC Milan,AS Roma,zlatan ibrahimovic,ignazio abate,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/as-roma-ac-milan-00LMl81F/,True,2011-10-29,I1,2012,italy,AS Roma,AC Milan,2,3,3.15,3.29,2.6,,,,
39199,00LMl81F/,00LMl81F20,20,17,"Goal!  Roma 0, Milan 1. Zlatan Ibrahimovic (Milan) header from the centre of the box to the bottom right corner. Assisted by Alberto Aquilani with a cross.",1,12.0,2,AC Milan,AS Roma,zlatan ibrahimovic,alberto aquilani,,,4.0,1.0,1,3.0,3.0,2,1.0,0,/soccer/italy/serie-a-2011-2012/as-roma-ac-milan-00LMl81F/,True,2011-10-29,I1,2012,italy,AS Roma,AC Milan,2,3,3.15,3.29,2.6,,,,
39200,00LMl81F/,00LMl81F21,21,18,Foul by Zlatan Ibrahimovic (Milan).,3,,2,AC Milan,AS Roma,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/as-roma-ac-milan-00LMl81F/,True,2011-10-29,I1,2012,italy,AS Roma,AC Milan,2,3,3.15,3.29,2.6,,,,
39212,00LMl81F/,00LMl81F33,33,28,"Corner,  Roma. Conceded by Zlatan Ibrahimovic.",2,,1,AS Roma,AC Milan,zlatan ibrahimovic,zlatan ibrahimovic,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/as-roma-ac-milan-00LMl81F/,True,2011-10-29,I1,2012,italy,AS Roma,AC Milan,2,3,3.15,3.29,2.6,,,,
39222,00LMl81F/,00LMl81F43,43,35,"Offside, Milan. Alessandro Nesta tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,2,AC Milan,AS Roma,zlatan ibrahimovic,alessandro nesta,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/as-roma-ac-milan-00LMl81F/,True,2011-10-29,I1,2012,italy,AS Roma,AC Milan,2,3,3.15,3.29,2.6,,,,
39233,00LMl81F/,00LMl81F54,54,48,Attempt blocked. Zlatan Ibrahimovic (Milan) right footed shot from the left side of the box is blocked. Assisted by Alberto Aquilani.,1,12.0,2,AC Milan,AS Roma,zlatan ibrahimovic,alberto aquilani,,,2.0,3.0,0,9.0,1.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/as-roma-ac-milan-00LMl81F/,True,2011-10-29,I1,2012,italy,AS Roma,AC Milan,2,3,3.15,3.29,2.6,,,,
39254,00LMl81F/,00LMl81F75,75,60,Zlatan Ibrahimovic (Milan) wins a free kick in the attacking half.,8,,2,AC Milan,AS Roma,zlatan ibrahimovic,,,,,,0,1.0,,0,,0,/soccer/italy/serie-a-2011-2012/as-roma-ac-milan-00LMl81F/,True,2011-10-29,I1,2012,italy,AS Roma,AC Milan,2,3,3.15,3.29,2.6,,,,
39275,00LMl81F/,00LMl81F96,96,74,Attempt missed. Zlatan Ibrahimovic (Milan) right footed shot from outside the box misses to the left. Assisted by Antonio Nocerino.,1,12.0,2,AC Milan,AS Roma,zlatan ibrahimovic,antonio nocerino,,,8.0,2.0,0,15.0,1.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/as-roma-ac-milan-00LMl81F/,True,2011-10-29,I1,2012,italy,AS Roma,AC Milan,2,3,3.15,3.29,2.6,,,,
39281,00LMl81F/,00LMl81F102,102,78,"Goal!  Roma 1, Milan 3. Zlatan Ibrahimovic (Milan) header from the centre of the box to the top left corner. Assisted by Alberto Aquilani with a cross following a corner.",1,12.0,2,AC Milan,AS Roma,zlatan ibrahimovic,alberto aquilani,,,12.0,1.0,1,3.0,3.0,2,3.0,0,/soccer/italy/serie-a-2011-2012/as-roma-ac-milan-00LMl81F/,True,2011-10-29,I1,2012,italy,AS Roma,AC Milan,2,3,3.15,3.29,2.6,,,,
39286,00LMl81F/,00LMl81F107,107,81,Attempt missed. Zlatan Ibrahimovic (Milan) right footed shot from the centre of the box is high and wide to the left. Assisted by Antonio Cassano with a cross.,1,12.0,2,AC Milan,AS Roma,zlatan ibrahimovic,antonio cassano,,,6.0,2.0,0,3.0,1.0,2,1.0,0,/soccer/italy/serie-a-2011-2012/as-roma-ac-milan-00LMl81F/,True,2011-10-29,I1,2012,italy,AS Roma,AC Milan,2,3,3.15,3.29,2.6,,,,
46291,jNFAmGs8/,jNFAmGs84,4,3,Attempt blocked. Zlatan Ibrahimovic (Milan) right footed shot from outside the box is blocked.,1,,1,AC Milan,Catania,zlatan ibrahimovic,,,,2.0,3.0,0,15.0,1.0,0,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46299,jNFAmGs8/,jNFAmGs812,12,7,"Goal!  Milan 1, Catania 0. Zlatan Ibrahimovic (Milan) converts the penalty with a right footed shot to the bottom left corner.",1,,1,AC Milan,Catania,zlatan ibrahimovic,,,,3.0,1.0,1,14.0,1.0,0,2.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46316,jNFAmGs8/,jNFAmGs829,29,19,"Offside, Milan. Clarence Seedorf tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,1,AC Milan,Catania,zlatan ibrahimovic,clarence seedorf,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46325,jNFAmGs8/,jNFAmGs838,38,26,Foul by Zlatan Ibrahimovic (Milan).,3,,1,AC Milan,Catania,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46359,jNFAmGs8/,jNFAmGs872,72,47,Attempt blocked. Zlatan Ibrahimovic (Milan) right footed shot from outside the box is blocked.,1,,1,AC Milan,Catania,zlatan ibrahimovic,,,,2.0,3.0,0,15.0,1.0,0,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46365,jNFAmGs8/,jNFAmGs878,78,50,Foul by Zlatan Ibrahimovic (Milan).,3,,1,AC Milan,Catania,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46368,jNFAmGs8/,jNFAmGs881,81,56,Attempt blocked. Zlatan Ibrahimovic (Milan) right footed shot from outside the box is blocked. Assisted by Christian Abbiati.,1,12.0,1,AC Milan,Catania,zlatan ibrahimovic,christian abbiati,,,2.0,3.0,0,15.0,1.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46371,jNFAmGs8/,jNFAmGs884,84,57,Foul by Zlatan Ibrahimovic (Milan).,3,,1,AC Milan,Catania,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46372,jNFAmGs8/,jNFAmGs885,85,58,"Offside, Milan. Alberto Aquilani tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,1,AC Milan,Catania,zlatan ibrahimovic,alberto aquilani,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46378,jNFAmGs8/,jNFAmGs891,91,62,Foul by Zlatan Ibrahimovic (Milan).,3,,1,AC Milan,Catania,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46380,jNFAmGs8/,jNFAmGs893,93,63,Foul by Zlatan Ibrahimovic (Milan).,3,,1,AC Milan,Catania,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46423,jNFAmGs8/,jNFAmGs8136,136,90,Zlatan Ibrahimovic (Milan) wins a free kick in the defensive half.,8,,1,AC Milan,Catania,zlatan ibrahimovic,,,,,,0,2.0,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46425,jNFAmGs8/,jNFAmGs8138,138,90,Foul by Zlatan Ibrahimovic (Milan).,3,,1,AC Milan,Catania,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
46426,jNFAmGs8/,jNFAmGs8139,139,90,Zlatan Ibrahimovic (Milan) is shown the yellow card for a bad foul.,4,,1,AC Milan,Catania,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-catania-jNFAmGs8/,True,2011-11-06,I1,2012,italy,AC Milan,Catania,4,0,1.48,4.5,9.86,,,,
47587,6wQ9wWJ0/,6wQ9wWJ014,14,18,Zlatan Ibrahimovic (Milan) wins a free kick in the defensive half.,8,,2,AC Milan,Fiorentina,zlatan ibrahimovic,,,,,,0,2.0,,0,,0,/soccer/italy/serie-a-2011-2012/fiorentina-ac-milan-6wQ9wWJ0/,True,2011-11-19,I1,2012,italy,Fiorentina,AC Milan,0,0,4.24,3.5,2.14,,,,
47592,6wQ9wWJ0/,6wQ9wWJ019,19,23,Attempt missed. Zlatan Ibrahimovic (Milan) right footed shot from the centre of the box is high and wide to the left. Assisted by Robinho with a cross.,1,12.0,2,AC Milan,Fiorentina,zlatan ibrahimovic,robinho,,,6.0,2.0,0,3.0,1.0,2,1.0,0,/soccer/italy/serie-a-2011-2012/fiorentina-ac-milan-6wQ9wWJ0/,True,2011-11-19,I1,2012,italy,Fiorentina,AC Milan,0,0,4.24,3.5,2.14,,,,
47612,6wQ9wWJ0/,6wQ9wWJ039,39,49,Attempt blocked. Zlatan Ibrahimovic (Milan) right footed shot from outside the box is blocked. Assisted by Clarence Seedorf.,1,12.0,2,AC Milan,Fiorentina,zlatan ibrahimovic,clarence seedorf,,,2.0,3.0,0,15.0,1.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/fiorentina-ac-milan-6wQ9wWJ0/,True,2011-11-19,I1,2012,italy,Fiorentina,AC Milan,0,0,4.24,3.5,2.14,,,,
47621,6wQ9wWJ0/,6wQ9wWJ048,48,59,Attempt blocked. Zlatan Ibrahimovic (Milan) right footed shot from outside the box is blocked. Assisted by Alberto Aquilani.,1,12.0,2,AC Milan,Fiorentina,zlatan ibrahimovic,alberto aquilani,,,2.0,3.0,0,15.0,1.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/fiorentina-ac-milan-6wQ9wWJ0/,True,2011-11-19,I1,2012,italy,Fiorentina,AC Milan,0,0,4.24,3.5,2.14,,,,
47627,6wQ9wWJ0/,6wQ9wWJ054,54,62,Attempt missed. Zlatan Ibrahimovic (Milan) right footed shot from outside the box is high and wide to the right from a direct free kick.,1,,2,AC Milan,Fiorentina,zlatan ibrahimovic,,,,6.0,2.0,0,15.0,1.0,0,4.0,0,/soccer/italy/serie-a-2011-2012/fiorentina-ac-milan-6wQ9wWJ0/,True,2011-11-19,I1,2012,italy,Fiorentina,AC Milan,0,0,4.24,3.5,2.14,,,,
47657,6wQ9wWJ0/,6wQ9wWJ084,84,80,Attempt saved. Zlatan Ibrahimovic (Milan) header from the centre of the box is saved in the bottom left corner. Assisted by Alberto Aquilani with a cross.,1,12.0,2,AC Milan,Fiorentina,zlatan ibrahimovic,alberto aquilani,,,3.0,1.0,0,3.0,3.0,2,1.0,0,/soccer/italy/serie-a-2011-2012/fiorentina-ac-milan-6wQ9wWJ0/,True,2011-11-19,I1,2012,italy,Fiorentina,AC Milan,0,0,4.24,3.5,2.14,,,,
